rank	FunSim	Hamaneh	ModuleSim	NetSim	Sun_topo
571	70.0	70.0	70.0	70.0	70.0
572	70.0	70.0	70.0	70.0	70.0
573	70.0	70.0	70.0	70.0	70.0
574	70.0	70.0	70.0	70.0	70.0
575	70.0	70.0	70.0	70.0	70.0
576	70.0	70.0	70.0	70.0	70.0
577	70.0	70.0	70.0	70.0	70.0
578	70.0	70.0	70.0	70.0	70.0
579	70.0	70.0	70.0	70.0	70.0
580	70.0	70.0	70.0	70.0	70.0
581	70.0	70.0	70.0	70.0	70.0
582	70.0	70.0	70.0	70.0	70.0
583	70.0	70.0	70.0	70.0	70.0
584	70.0	70.0	70.0	70.0	70.0
585	70.0	70.0	70.0	70.0	70.0
586	70.0	70.0	70.0	70.0	70.0
587	70.0	70.0	70.0	70.0	70.0
588	70.0	70.0	70.0	70.0	70.0
589	70.0	70.0	70.0	70.0	70.0
590	70.0	70.0	70.0	70.0	70.0
591	70.0	70.0	70.0	70.0	70.0
592	70.0	70.0	70.0	70.0	70.0
593	70.0	70.0	70.0	70.0	70.0
594	70.0	70.0	70.0	70.0	70.0
595	70.0	70.0	70.0	70.0	70.0
596	70.0	70.0	70.0	70.0	70.0
597	70.0	70.0	70.0	70.0	70.0
598	70.0	70.0	70.0	70.0	70.0
599	70.0	70.0	70.0	70.0	70.0
600	70.0	70.0	70.0	70.0	70.0
601	70.0	70.0	70.0	70.0	70.0
602	70.0	70.0	70.0	70.0	70.0
603	70.0	70.0	70.0	70.0	70.0
604	70.0	70.0	70.0	70.0	70.0
605	70.0	70.0	70.0	70.0	70.0
606	70.0	70.0	70.0	70.0	70.0
607	70.0	70.0	70.0	70.0	70.0
608	70.0	70.0	70.0	70.0	70.0
609	70.0	70.0	70.0	70.0	70.0
610	70.0	70.0	70.0	70.0	70.0
611	70.0	70.0	70.0	70.0	70.0
612	70.0	70.0	70.0	70.0	70.0
613	70.0	70.0	70.0	70.0	70.0
614	70.0	70.0	70.0	70.0	70.0
615	70.0	70.0	70.0	70.0	70.0
616	70.0	70.0	70.0	70.0	70.0
617	70.0	70.0	70.0	70.0	70.0
618	70.0	70.0	70.0	70.0	70.0
619	70.0	70.0	70.0	70.0	70.0
620	70.0	70.0	70.0	70.0	70.0
621	70.0	70.0	70.0	70.0	70.0
622	70.0	70.0	70.0	70.0	70.0
623	70.0	70.0	70.0	70.0	70.0
624	70.0	70.0	70.0	70.0	70.0
625	70.0	70.0	70.0	70.0	70.0
626	70.0	70.0	70.0	70.0	70.0
627	70.0	70.0	70.0	70.0	70.0
